finger_x, finger_y, muscle, muscle_x, muscle_y
801,467,Left Trapezius,772,472
786,418,Right Trapezius,759,442
775,407,Right Trapezius,754,433
758,386,Right Trapezius,746,427
501,488,Right Shoulder (Deltoid),544,501
515,461,Right Shoulder (Deltoid),544,500
512,482,Right Shoulder (Deltoid),543,502
513,499,Right Shoulder (Deltoid),544,504
519,505,Right Shoulder (Deltoid),544,503
517,503,Right Shoulder (Deltoid),544,503
516,505,Right Shoulder (Deltoid),545,502
516,503,Right Shoulder (Deltoid),545,500
518,503,Right Shoulder (Deltoid),545,500
517,502,Right Shoulder (Deltoid),546,499
517,503,Right Shoulder (Deltoid),546,499
517,503,Right Shoulder (Deltoid),546,499
517,503,Right Shoulder (Deltoid),546,499
518,503,Right Shoulder (Deltoid),546,498
518,504,Right Shoulder (Deltoid),546,498
518,503,Right Shoulder (Deltoid),546,498
517,503,Right Shoulder (Deltoid),546,498
517,505,Right Shoulder (Deltoid),546,498
517,505,Right Shoulder (Deltoid),547,497
517,504,Right Shoulder (Deltoid),547,496
518,506,Right Shoulder (Deltoid),548,496
517,506,Right Shoulder (Deltoid),548,496
516,507,Right Shoulder (Deltoid),549,496
518,506,Right Shoulder (Deltoid),550,496
517,506,Right Shoulder (Deltoid),550,496
520,505,Right Shoulder (Deltoid),550,497
729,509,Chest (Pectorals),688,519
704,538,Chest (Pectorals),688,518
676,561,Chest (Pectorals),687,518
554,538,Right Shoulder (Deltoid),508,521
496,486,Right Shoulder (Deltoid),508,511
655,474,Chest (Pectorals),676,512
704,475,Chest (Pectorals),678,513
512,468,Right Shoulder (Deltoid),538,506
503,481,Right Shoulder (Deltoid),537,506
500,486,Right Shoulder (Deltoid),538,503
502,492,Right Shoulder (Deltoid),537,500
500,496,Right Shoulder (Deltoid),537,500
511,500,Right Shoulder (Deltoid),537,500
512,504,Right Shoulder (Deltoid),538,501
520,512,Right Shoulder (Deltoid),538,502
518,510,Right Shoulder (Deltoid),539,503
519,510,Right Shoulder (Deltoid),539,505
519,508,Right Shoulder (Deltoid),540,508
518,508,Right Shoulder (Deltoid),540,508
517,504,Right Shoulder (Deltoid),539,511
539,500,Right Shoulder (Deltoid),534,514
574,502,Right Shoulder (Deltoid),533,514
662,540,Chest (Pectorals),698,508
719,549,Chest (Pectorals),693,510
714,534,Chest (Pectorals),694,511
686,499,Chest (Pectorals),694,512
669,499,Chest (Pectorals),696,516
660,499,Chest (Pectorals),697,518
661,499,Chest (Pectorals),699,518
659,501,Chest (Pectorals),699,519
663,499,Chest (Pectorals),701,519
664,498,Chest (Pectorals),702,520
665,492,Chest (Pectorals),702,520
670,488,Chest (Pectorals),702,520
653,436,Right Trapezius,699,418
680,447,Right Trapezius,720,432
542,467,Right Shoulder (Deltoid),544,511
529,472,Right Shoulder (Deltoid),542,515
565,483,Right Shoulder (Deltoid),547,518
541,489,Right Shoulder (Deltoid),547,518
516,485,Right Shoulder (Deltoid),545,516
538,495,Right Shoulder (Deltoid),540,515
514,496,Right Shoulder (Deltoid),538,515
551,485,Right Shoulder (Deltoid),535,515
515,485,Right Shoulder (Deltoid),533,516
519,485,Right Shoulder (Deltoid),532,516
561,504,Right Shoulder (Deltoid),531,518
522,503,Right Shoulder (Deltoid),531,518
528,513,Right Shoulder (Deltoid),532,519
544,531,Right Shoulder (Deltoid),532,520
550,541,Right Shoulder (Deltoid),535,520
555,544,Right Shoulder (Deltoid),539,520
559,543,Right Shoulder (Deltoid),543,518
560,543,Right Shoulder (Deltoid),543,518
561,544,Right Shoulder (Deltoid),543,518
558,544,Right Shoulder (Deltoid),543,518
554,544,Right Shoulder (Deltoid),543,518
550,540,Right Shoulder (Deltoid),544,516
542,533,Right Shoulder (Deltoid),543,516
532,516,Right Shoulder (Deltoid),543,516
544,514,Right Shoulder (Deltoid),542,516
550,512,Right Shoulder (Deltoid),542,516
569,505,Right Shoulder (Deltoid),542,513
572,507,Right Shoulder (Deltoid),541,513
576,509,Right Shoulder (Deltoid),539,513
576,504,Right Shoulder (Deltoid),538,513
576,502,Right Shoulder (Deltoid),537,513
558,515,Right Shoulder (Deltoid),537,513
553,522,Right Shoulder (Deltoid),539,511
547,528,Right Shoulder (Deltoid),539,514
543,528,Right Shoulder (Deltoid),539,515
540,529,Right Shoulder (Deltoid),538,517
539,529,Right Shoulder (Deltoid),535,518
536,534,Right Shoulder (Deltoid),533,519
530,545,Right Shoulder (Deltoid),533,521
513,565,Right Shoulder (Deltoid),533,522
496,589,Right Bicep,477,627
487,600,Right Bicep,478,626
480,607,Right Bicep,478,625
471,607,Right Bicep,480,625
466,604,Right Bicep,481,626
463,602,Right Bicep,482,627
462,600,Right Bicep,481,625
463,601,Right Bicep,481,624
464,601,Right Bicep,481,622
465,602,Right Bicep,482,622
465,602,Right Bicep,482,622
466,600,Right Bicep,481,621
466,600,Right Bicep,481,620
466,600,Right Bicep,482,620
466,599,Right Bicep,482,620
472,577,Right Bicep,483,619
475,578,Right Bicep,483,622
500,518,Right Shoulder (Deltoid),545,513
514,468,Right Shoulder (Deltoid),536,511
532,463,Right Shoulder (Deltoid),535,512
836,535,Left Shoulder (Deltoid),874,514
827,514,Left Shoulder (Deltoid),874,514
828,509,Left Shoulder (Deltoid),871,512
831,515,Left Shoulder (Deltoid),864,500
828,521,Left Shoulder (Deltoid),864,500
831,518,Left Shoulder (Deltoid),863,499
842,520,Left Shoulder (Deltoid),861,498
827,522,Left Shoulder (Deltoid),861,497
521,510,Right Shoulder (Deltoid),545,521
527,507,Right Shoulder (Deltoid),542,520
528,511,Right Shoulder (Deltoid),539,520
527,507,Right Shoulder (Deltoid),537,520
525,504,Right Shoulder (Deltoid),536,520
526,502,Right Shoulder (Deltoid),535,520
526,501,Right Shoulder (Deltoid),535,520
526,502,Right Shoulder (Deltoid),534,520
527,501,Right Shoulder (Deltoid),534,520
527,499,Right Shoulder (Deltoid),534,520
529,497,Right Shoulder (Deltoid),534,520
530,495,Right Shoulder (Deltoid),534,520
530,493,Right Shoulder (Deltoid),534,520
531,494,Right Shoulder (Deltoid),534,520
532,495,Right Shoulder (Deltoid),534,520
532,492,Right Shoulder (Deltoid),534,520
532,491,Right Shoulder (Deltoid),534,520
532,491,Right Shoulder (Deltoid),534,519
534,491,Right Shoulder (Deltoid),534,519
536,491,Right Shoulder (Deltoid),534,519
538,510,Right Shoulder (Deltoid),534,519
540,550,Right Shoulder (Deltoid),533,519
854,504,Left Shoulder (Deltoid),871,500
855,506,Left Shoulder (Deltoid),869,500
856,507,Left Shoulder (Deltoid),868,501
856,509,Left Shoulder (Deltoid),867,502
858,512,Left Shoulder (Deltoid),866,502
859,511,Left Shoulder (Deltoid),864,502
859,512,Left Shoulder (Deltoid),863,503
858,512,Left Shoulder (Deltoid),863,503
858,511,Left Shoulder (Deltoid),862,503
858,511,Left Shoulder (Deltoid),862,504
859,511,Left Shoulder (Deltoid),862,504
859,512,Left Shoulder (Deltoid),862,504
859,511,Left Shoulder (Deltoid),862,504
858,511,Left Shoulder (Deltoid),862,504
858,509,Left Shoulder (Deltoid),863,503
857,510,Left Shoulder (Deltoid),863,503
858,510,Left Shoulder (Deltoid),863,502
857,510,Left Shoulder (Deltoid),864,502
857,509,Left Shoulder (Deltoid),864,502
857,509,Left Shoulder (Deltoid),864,502
857,509,Left Shoulder (Deltoid),864,502
